audit_id,session_id,operator,start_time,end_time,duration_seconds,predicted_label,confidence,detection_method,evidence,screenshot_reference,reviewer,audit_decision,verified_label,audit_notes
AUDIT-B-001,ses_20260701-164424-CHAITANYA0BCF,user_b_01,2026-07-01T16:44:24Z,2026-07-01T16:44:39Z,14.7,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,scr_smart_1782924264999_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CORRECTED,inventory_order_management,Boundary trimmed: initial 3 seconds were idle desktop transition.
AUDIT-B-002,ses_20260701-164424-CHAITANYA0BCF,user_b_01,2026-07-01T16:44:42Z,2026-07-01T16:46:46Z,124.1,payroll_deduction_adjustment,0.96,dom_action_anchor,url:/payroll-items;doc:getsujitsu_teigaku_torihikisaki_ichiran;button:pi-note;button:btn-pi-ok;title:expense_calc;title:給与,scr_smart_1782924282659_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,payroll_deduction_adjustment,Verified UI interaction on #/payroll-items; Word policy guideline gyomu_itaku_kyuuyo_kitei cross-referenced.
AUDIT-B-003,ses_20260701-164424-CHAITANYA0BCF,user_b_01,2026-07-01T16:46:46Z,2026-07-01T16:47:44Z,57.3,expense_settlement_approval,0.98,hybrid_neural_symbolic,url:/payroll-items;doc:getsujitsu_teigaku_torihikisaki_ichiran;button:pi-note;button:btn-pi-ok;title:expense_calc,scr_smart_1782924406792_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,expense_settlement_approval,Confirmed expense_settlement_approval route navigation and corresponding document checklist verification.
AUDIT-B-004,ses_20260701-164424-CHAITANYA0BCF,user_b_01,2026-07-01T16:47:54Z,2026-07-01T16:48:28Z,34.1,resident_tax_confirmation,0.95,dom_action_anchor,url:/resident-tax;button:rt-note;button:btn-rt-ok,scr_smart_1782924474171_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,resident_tax_confirmation,Confirmed resident_tax_confirmation route navigation and corresponding document checklist verification.
AUDIT-B-005,ses_20260701-164424-CHAITANYA0BCF,user_b_01,2026-07-01T16:48:50Z,2026-07-01T16:49:07Z,16.3,leave_application_processing,0.75,document_context,title:受発注在庫管理システム;doc:shinkui_keiyaku;doc:keiyaku_kaijo_tetsuzuki,scr_smart_1782924530983_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,leave_application_processing,Confirmed leave_application_processing route navigation and corresponding document checklist verification.
AUDIT-B-006,ses_20260701-164424-CHAITANYA0BCF,user_b_01,2026-07-01T16:51:58Z,2026-07-01T16:52:18Z,19.8,leave_application_processing,0.85,url_route_anchor,title:受発注在庫管理システム;doc:shinkui_keiyaku;doc:keiyaku_kaijo_tetsuzuki;url:/payroll-items,scr_smart_1782924718755_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,leave_application_processing,Confirmed leave_application_processing route navigation and corresponding document checklist verification.
AUDIT-B-007,ses_20260701-171614-CHAITANYA0BCF,user_b_01,2026-07-01T17:19:09Z,2026-07-01T17:19:28Z,18.8,onboarding_verification,0.85,dom_action_anchor,url:/onboarding;doc:shinkuitorihikisaki_touroku;doc:nyusha_checklist;button:ob-note;title:給与,scr_smart_1782926348198_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,onboarding_verification,Confirmed onboarding_verification route navigation and corresponding document checklist verification.
AUDIT-B-008,ses_20260701-171614-CHAITANYA0BCF,user_b_01,2026-07-01T17:20:19Z,2026-07-01T17:23:07Z,168.1,budget_variance_analysis,0.77,window_context,title:給与;title:budget_analysis;url:/social-insurance;button:si-note;button:btn-si-ok,scr_smart_1782926419461_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,budget_variance_analysis,Confirmed Excel analysis of getsujitsu_teigaku_torihikisaki_ichiran ledger variance.
AUDIT-B-009,ses_20260701-171614-CHAITANYA0BCF,user_b_01,2026-07-01T17:24:10Z,2026-07-01T17:24:16Z,6.6,social_insurance_correction,0.95,dom_action_anchor,url:/social-insurance;button:si-note,scr_smart_1782926649890_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,social_insurance_correction,Confirmed pension correction workflow on #/social-insurance portal view.
AUDIT-B-010,ses_20260701-171614-CHAITANYA0BCF,user_b_01,2026-07-01T17:24:36Z,2026-07-01T17:25:28Z,51.7,payroll_deduction_adjustment,0.95,dom_action_anchor,title:給与;url:/payroll-items;button:pi-note;button:btn-pi-ok;url:/social-insurance,scr_smart_1782926676858_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,payroll_deduction_adjustment,Verified UI interaction on #/payroll-items; Word policy guideline gyomu_itaku_kyuuyo_kitei cross-referenced.
AUDIT-B-011,ses_20260701-171614-CHAITANYA0BCF,user_b_01,2026-07-01T17:26:19Z,2026-07-01T17:26:52Z,33.0,resident_tax_confirmation,0.95,dom_action_anchor,url:/resident-tax;button:rt-note;button:btn-rt-ok;doc:shinkuitorihikisaki_touroku,scr_smart_1782926778421_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,resident_tax_confirmation,Confirmed resident_tax_confirmation route navigation and corresponding document checklist verification.
AUDIT-B-012,ses_20260701-173246-SIDDHIGUPTAB00B,user_b_02,2026-07-01T17:36:51Z,2026-07-01T17:37:03Z,11.8,onboarding_verification,0.75,document_context,title:給与;doc:nyusha_checklist,scr_smart_1782927411651_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,onboarding_verification,Confirmed onboarding_verification route navigation and corresponding document checklist verification.
AUDIT-B-013,ses_20260701-173246-SIDDHIGUPTAB00B,user_b_02,2026-07-01T17:40:11Z,2026-07-01T17:40:27Z,16.1,leave_application_processing,0.9,url_route_anchor,title:受発注在庫管理システム;url:/leave-applications;doc:shinkui_keiyaku;button:la-note,scr_smart_1782927611746_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,leave_application_processing,Confirmed leave_application_processing route navigation and corresponding document checklist verification.
AUDIT-B-014,ses_20260701-173246-SIDDHIGUPTAB00B,user_b_02,2026-07-01T17:42:26Z,2026-07-01T17:43:12Z,46.3,payroll_deduction_adjustment,0.95,dom_action_anchor,url:/payroll-items;title:給与;button:pi-note;button:btn-pi-ok;title:精算確認メモ,scr_smart_1782927746655_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,payroll_deduction_adjustment,Verified UI interaction on #/payroll-items; Word policy guideline gyomu_itaku_kyuuyo_kitei cross-referenced.
